package,version,status
react-native-svg,15.15.4,pass
@react-native-async-storage/async-storage,2.2.0,fail-newdsl
expo-notifications,58.0.0-canary-20260902-26df09e,pass
expo-secure-store,58.0.0-canary-20260902-26df09e,pass
expo-image-picker,58.0.0-canary-20260902-26df09e,pass
expo-dev-client,58.0.0-canary-20260902-26df09e,pass
expo-haptics,58.0.0-canary-20260902-26df09e,pass
expo-file-system,58.0.0-canary-20260902-26df09e,pass
expo-linear-gradient,58.0.0-canary-20260902-26df09e,pass
expo-updates,58.0.0-canary-20260902-26df09e,fail-newdsl
react-native-webview,13.16.1,fail-newdsl
expo-sharing,58.0.0-canary-20260902-26df09e,pass
expo-crypto,58.0.0-canary-20260902-26df09e,pass
react-native-safe-area-context,5.7.0,fail-baseline
react-native-screens,4.27.0,pass
react-native-reanimated,4.5.1,fail-baseline
react-native-worklets,0.10.1,fail-baseline
expo-router,58.0.0-canary-20260902-26df09e,pass
expo-clipboard,58.0.0-canary-20260902-26df09e,pass
expo-location,58.0.0-canary-20260902-26df09e,pass
expo-blur,58.0.0-canary-20260902-26df09e,pass
@react-native-community/datetimepicker,9.1.0,fail-newdsl
expo-camera,58.0.0-canary-20260902-26df09e,pass
expo-document-picker,58.0.0-canary-20260902-26df09e,pass
expo-localization,58.0.0-canary-20260902-26df09e,pass
expo-image-manipulator,58.0.0-canary-20260902-26df09e,pass
expo-asset,58.0.0-canary-20260902-26df09e,pass
expo-audio,58.0.0-canary-20260902-26df09e,pass
@react-native-community/netinfo,12.0.1,pass
expo-application,58.0.0-canary-20260902-26df09e,pass
expo-video,58.0.0-canary-20260902-26df09e,pass
@sentry/react-native,7.11.0,pass
react-native-keyboard-controller,1.22.4,fail-newdsl
react-native-maps,1.27.2,fail-newdsl
expo-local-authentication,58.0.0-canary-20260902-26df09e,pass
react-native-view-shot,5.1.0,pass
react-native-purchases,10.8.1,fail-newdsl
@react-native-google-signin/google-signin,16.1.4,fail-newdsl
expo-sqlite,58.0.0-canary-20260902-26df09e,pass
expo-keep-awake,58.0.0-canary-20260902-26df09e,pass
expo-media-library,58.0.0-canary-20260902-26df09e,pass
react-native-qrcode-svg,6.3.21,pass
react-native-nitro-modules,0.37.1,fail-newdsl
expo-store-review,58.0.0-canary-20260902-26df09e,pass
react-native-get-random-values,2.0.0,pass
expo-print,58.0.0-canary-20260902-26df09e,pass
lottie-react-native,7.3.8,fail-newdsl
expo-task-manager,58.0.0-canary-20260902-26df09e,pass
react-native-pager-view,8.0.2,fail-newdsl
expo-network,58.0.0-canary-20260902-26df09e,pass
react-native-mmkv,4.3.2,fail-baseline
@react-native-community/slider,5.2.0,pass
@shopify/react-native-skia,2.6.2,pass
@react-native-picker/picker,2.11.4,pass
expo-av,16.0.8,pass
@react-native-firebase/analytics,26.3.3,fail-baseline
expo-screen-orientation,58.0.0-canary-20260902-26df09e,pass
expo-tracking-transparency,58.0.0-canary-20260902-26df09e,pass
@react-native-firebase/messaging,26.3.3,fail-baseline
expo-navigation-bar,58.0.0-canary-20260902-26df09e,pass
expo-speech,58.0.0-canary-20260902-26df09e,pass
react-native-device-info,15.0.2,pass
@stripe/stripe-react-native,0.64.0,fail-baseline
expo-intent-launcher,58.0.0-canary-20260902-26df09e,pass
react-native-blob-util,0.24.10,pass
@react-native-firebase/crashlytics,26.3.3,fail-baseline
expo-calendar,58.0.0-canary-20260902-26df09e,pass
react-native-share,12.3.1,pass
expo-contacts,58.0.0-canary-20260902-26df09e,pass
expo-sensors,58.0.0-canary-20260902-26df09e,pass
expo-speech-recognition,57.0.0,pass
expo-screen-capture,58.0.0-canary-20260902-26df09e,pass
react-native-vector-icons,10.3.0,pass
react-native-purchases-ui,10.8.1,fail-newdsl
react-native-pdf,7.0.5,pass
react-native-google-mobile-ads,16.5.0,fail-newdsl
react-native-edge-to-edge,1.8.1,fail-newdsl
@react-native-firebase/auth,26.3.3,fail-baseline
react-native-vision-camera,5.2.3,fail-baseline
expo-video-thumbnails,58.0.0-canary-20260902-26df09e,pass
react-native-fbsdk-next,13.4.3,fail-baseline
react-native-appsflyer,7.0.2,fail-baseline
expo-insights,58.0.0-canary-20260902-26df09e,pass
expo-background-task,58.0.0-canary-20260902-26df09e,pass
expo-iap,5.5.0,fail-baseline
react-native-linear-gradient,2.8.3,pass
@datadog/mobile-react-native,3.6.0,fail-newdsl
react-native-permissions,5.6.1,fail-newdsl
@notifee/react-native,9.1.8,pass
@react-native-clipboard/clipboard,1.16.3,pass
expo-modules-core,58.0.0-canary-20260902-26df09e,pass
@intercom/intercom-react-native,10.7.0,fail-baseline
@rnmapbox/maps,10.3.5,fail-baseline
react-native-health-connect,4.1.3,fail-baseline
expo-battery,58.0.0-canary-20260902-26df09e,pass
react-native-iap,16.5.0,fail-baseline
expo-brightness,58.0.0-canary-20260902-26df09e,pass
@react-native-menu/menu,2.0.0,fail-newdsl
react-native-ble-plx,3.5.1,pass
expo-mail-composer,58.0.0-canary-20260902-26df09e,pass
mixpanel-react-native,3.6.0,pass
react-native-onesignal,5.5.9,pass
@react-native-firebase/remote-config,26.3.3,fail-baseline
react-native-unistyles,3.3.0,fail-baseline
@react-native-firebase/firestore,26.3.3,fail-baseline
react-native-compressor,2.0.3,fail-baseline
expo-background-fetch,58.0.0-canary-20260902-26df09e,pass
react-native-video,6.19.2,fail-newdsl
@maplibre/maplibre-react-native,11.3.8,fail-newdsl
react-native-worklets-core,1.6.3,fail-newdsl
@braze/react-native-sdk,23.0.0,fail-newdsl
react-native-localize,3.7.0,fail-newdsl
expo-sms,58.0.0-canary-20260902-26df09e,pass
react-native-date-picker,5.0.13,fail-baseline
@amplitude/analytics-react-native,1.8.0,fail-newdsl
@react-native-firebase/app-check,26.3.3,fail-baseline
expo-share-intent,8.0.1,pass
@braze/expo-plugin,5.2.0,fail-baseline
expo-gl,58.0.0-canary-20260902-26df09e,pass
react-native-webrtc,124.0.8,pass
expo-observe,58.0.0-canary-20260902-26df09e,pass
expo-quick-actions,6.0.2,pass
@livekit/react-native,,fail-baseline
@livekit/react-native-webrtc,144.1.2,pass
react-native-ios-utilities,5.2.0,pass
@react-native-firebase/perf,26.3.3,fail-baseline
@expo/dom-webview,58.0.0-canary-20260902-26df09e,pass
posthog-react-native-session-replay,,fail-newdsl
@rudderstack/rudder-sdk-react-native,3.2.0,fail-newdsl
react-native-image-picker,8.2.1,pass
react-native-branch,7.0.0,fail-baseline
react-native-launch-arguments,4.1.1,fail-newdsl
rive-react-native,9.8.5,fail-newdsl
react-native-keychain,10.0.0,fail-newdsl
react-native-fs,2.20.0,pass
@livekit/react-native-expo-plugin,1.0.2,fail-baseline
@lodev09/react-native-true-sheet,3.11.12,fail-newdsl
expo-widgets,58.0.0-canary-20260902-26df09e,fail-baseline
react-native-android-widget,0.22.1,fail-baseline
@config-plugins/react-native-branch,13.0.2,fail-baseline
@react-native-firebase/storage,26.3.3,fail-baseline
@aws-amplify/react-native,1.3.3,fail-newdsl
react-native-enriched-markdown,1.0.2,fail-newdsl
@react-native-cookies/cookies,6.2.1,fail-baseline
react-native-auth0,5.11.0,fail-baseline
react-native-restart,0.0.29,pass
@invertase/react-native-apple-authentication,2.5.1,fail-newdsl
react-native-incall-manager,4.2.2,pass
react-native-plaid-link-sdk,13.1.0,fail-baseline
@op-engineering/op-sqlite,18.1.4,fail-newdsl
react-native-image-crop-picker,0.51.1,pass
@clerk/expo,4.6.2,fail-baseline
react-native-quick-crypto,1.1.7,fail-baseline
react-native-nitro-image,0.15.2,fail-baseline
react-native-gesture-handler,3.1.0,fail-newdsl
@react-native-firebase/app,26.3.3,pass
@react-native-masked-view/masked-view,0.3.2,pass
@datadog/mobile-react-native-session-replay,3.7.0,fail-baseline
@preeternal/react-native-cookie-manager,6.4.0,fail-newdsl
@react-native-community/blur,4.4.1,pass
@react-native-community/geolocation,3.4.0,pass
@react-native-firebase/functions,26.3.3,fail-baseline
@segment/analytics-react-native,2.24.0,fail-baseline
@segment/sovran-react-native,1.1.4,fail-newdsl
burnt,0.13.0,pass
@react-native-ml-kit/text-recognition,2.0.0,pass
customerio-reactnative,6.10.0,fail-newdsl
expo-maps,58.0.0-canary-20260902-26df09e,pass
react-native-bootsplash,6.3.12,fail-newdsl
react-native-document-scanner-plugin,2.0.4,fail-newdsl
react-native-email-link,1.16.1,pass
react-native-inappbrowser-reborn,3.7.1,pass
react-native-nfc-manager,3.17.2,pass
react-native-teleport,1.2.1,fail-newdsl
sp-react-native-in-app-updates,2.0.0,pass
@fullstory/react-native,1.10.2,fail-baseline
@microsoft/react-native-clarity,4.7.0,fail-newdsl
@posthog/react-native-plugin,2.5.1,fail-newdsl
@react-native-documents/picker,12.0.2,fail-newdsl
@react-native-vector-icons/ionicons,,fail-newdsl
jail-monkey,3.0.0,pass
react-native-audio-api,0.13.3,fail-newdsl
react-native-bottom-tabs,1.4.0,fail-newdsl
react-native-callkeep,4.3.16,pass
react-native-config,1.7.2,pass
react-native-haptic-feedback,3.0.0,pass
react-native-image-colors,2.6.0,fail-newdsl
react-native-razorpay,3.0.0,pass
react-native-volume-manager,2.0.8,fail-newdsl
@react-native-vector-icons/material-design-icons,,fail-newdsl
expo-health-connect,0.1.1,fail-baseline
react-native-adjust,5.8.0,pass
react-native-biometrics,3.0.1,pass
react-native-ease,0.8.0,fail-newdsl
react-native-file-viewer,2.1.5,pass
react-native-in-app-review,4.4.2,pass
react-native-passkeys,0.4.2,fail-newdsl
react-native-track-player,4.1.2,fail-baseline
@10play/tentap-editor,1.0.1,fail-newdsl
@adobe/react-native-aepassurance,7.0.0,fail-baseline
@adobe/react-native-aepcore,7.0.1,fail-baseline
@adobe/react-native-aepedge,7.0.1,fail-baseline
@amplitude/experiment-react-native-client,1.8.0,fail-newdsl
@amplitude/plugin-session-replay-react-native,0.5.1,fail-newdsl
@nozbe/watermelondb,0.28.0,fail-baseline
@react-native-camera-roll/camera-roll,7.10.2,pass
@react-native-vector-icons/material-icons,,fail-newdsl
expo-alternate-app-icons,8.0.0,pass
expo-in-app-updates,0.12.0,pass
react-native-agora,4.6.4,pass
react-native-background-timer,2.4.1,pass
react-native-html-to-pdf,1.3.0,fail-newdsl
react-native-legal,1.6.5,fail-newdsl
react-native-performance,6.0.0,pass
react-native-persona,2.52.1,fail-newdsl
react-native-radar,4.36.0,fail-baseline
react-native-shake,6.10.0,fail-newdsl
react-native-tcp-socket,6.4.2,pass
react-native-version-check,3.5.0,pass
@adobe/react-native-aepoptimize,7.2.0,fail-baseline
@allboatsrise/expo-marketingcloudsdk,55.0.1,fail-baseline
@atomicfi/transact-react-native,,fail-newdsl
@aws-amplify/rtn-web-browser,1.4.0,fail-newdsl
@d11/react-native-fast-image,8.13.0,fail-baseline
@datadome/datadome-axios,3.2.0,pass
@expo/app-integrity,57.0.1,pass
@fingerprintjs/fingerprintjs-pro-react-native,3.17.1,fail-baseline
@humansecurity/expo-mobile-sdk,3.0.0,fail-baseline
@iterable/react-native-sdk,3.1.0,fail-newdsl
@react-native-community/masked-view,0.1.11,fail-baseline
@react-native-firebase/database,26.3.3,fail-baseline
@rive-app/react-native,0.4.20,fail-baseline
@rudderstack/rudder-integration-firebase-react-native,2.3.1,fail-baseline
@socure-inc/docv-react-native,5.3.0,fail-baseline
@socure-inc/react-native-device-risk,4.11.1,fail-baseline
@stripe/stripe-terminal-react-native,0.0.1-beta.32,fail-baseline
amazon-cognito-identity-js,6.3.20,pass
expo-cellular,58.0.0-canary-20260902-26df09e,pass
expo-random,14.0.1,pass
react-native-a11y-order,1.0.0,pass
react-native-applifecycle,1.0.0,pass
react-native-background-fetch,4.4.2,pass
react-native-background-geolocation,5.5.0,pass
react-native-bouncy-checkbox,4.1.4,pass
react-native-color-matrix-image-filters,8.0.2,pass
react-native-file-logger,0.7.3,pass
react-native-onetrust-cmp,202608.1.0,fail-newdsl
react-native-pdf-jsi,4.4.2,fail-baseline
react-native-release-profiler,0.4.4,fail-newdsl
react-native-userleap,4.3.0,fail-baseline
react-native-zip-archive,9.4.1,pass
singular-react-native,4.3.0,pass
skyflow-react-native,1.10.6,fail-newdsl
stream-chat-expo,9.8.2,fail-newdsl
terra-react,1.9.14,fail-baseline
@adobe/react-native-aepedgebridge,7.0.1,fail-baseline
@adobe/react-native-aepedgeidentity,7.0.0,fail-baseline
@adobe/react-native-aepmessaging,7.4.0,fail-baseline
@adyen/react-native,2.12.0,fail-newdsl
@crossmint/client-sdk-react-native-ui,1.6.1,fail-newdsl
@expo/log-box,57.0.4,fail-baseline
