package,version,status
@alexzunik/react-native-money-input,0.5.4,pass
@appcitor/react-native-voice-to-text,,pass
@atomiqlab/react-native-mapbox-navigation,2.2.0,fail-baseline
@bear-block/vision-camera-ocr,4.0.3,fail-baseline
@blazejkustra/react-native-alert,1.1.0,fail-baseline
@breeztech/breez-sdk-spark-react-native,,pass
@clerk/expo-google-signin,1.0.4,pass
@clerk/expo-passkeys,2.0.18,pass
@criipto/verify-expo,4.0.2,fail-baseline
@dbkable/react-native-speech-to-text,1.2.2,pass
@didit-protocol/sdk-react-native,4.7.7,fail-baseline
@domir/react-native-measure-text,0.1.10,pass
@dr.pogodin/react-native-fs,2.40.2,pass
@figuredev/react-native-local-server,0.17.11,pass
@filipfrlic/expo-google-signin,0.5.1,fail-baseline
@fishjam-cloud/react-native-webrtc,0.30.3,pass
@gfean/react-native-bundle-drop,0.8.0,pass
@kesha-antonov/react-native-background-downloader,4.6.2,fail-newdsl
@lodev09/react-native-true-sheet,3.11.14,fail-newdsl
@maplibre/maplibre-react-native,11.3.10,fail-newdsl
@posthog/react-native-plugin,2.6.0,pass
@powersync/react-native,2.2.1,pass
@preeternal/react-native-cookie-manager,6.4.1,pass
@react-native-community/datetimepicker,9.1.0,fail-newdsl
@react-native-google-signin/google-signin,16.1.5,pass
@react-native-vector-icons/ant-design,,pass
@react-native-vector-icons/entypo,,pass
@react-native-vector-icons/evil-icons,,pass
@react-native-vector-icons/feather,,pass
@react-native-vector-icons/fontawesome,,pass
@react-native-vector-icons/fontawesome5,,pass
@react-native-vector-icons/fontawesome6,,pass
@react-native-vector-icons/get-image,13.0.1,pass
@react-native-vector-icons/ionicons,,pass
@react-native-vector-icons/lucide,,pass
@react-native-vector-icons/material-design-icons,,pass
@react-native-vector-icons/material-icons,,pass
@react-native-vector-icons/octicons,,pass
@sbaiahmed1/react-native-biometrics,0.16.1,fail-newdsl
expo-iap,5.5.1,pass
react-native-auth0,5.11.1,fail-baseline
react-native-ble-manager,12.5.2,pass
react-native-executorch,0.10.1,fail-baseline
react-native-iap,16.5.1,fail-baseline
react-native-legal,1.7.0,fail-newdsl
react-native-navigation-mode,1.2.13,pass
react-native-nitro-cookies,1.2.1,fail-baseline
react-native-nitro-markdown,,fail-baseline
react-native-nitro-sound,0.2.20,fail-baseline
react-native-passkey,3.6.2,pass
react-native-purchases,10.9.1,pass
react-native-restart-newarch,1.0.88,pass
react-native-screenshot-aware,2.1.3,pass
react-native-sherpa-onnx,0.4.4,fail-newdsl
react-native-teleport,1.2.2,pass
